8,6005,Ανάλυση Δεδομένων(ΣΤΑ),8,0,1,oxi,false,true,true
8,3862,Ανάλυση Επίδοσης Συστημάτων και Δικτύων,6,3571 3311,2 5,oxi,false,true,true
8,3842,Ανάπτυξη Εφαρμογών Πληροφοριακών Συστημάτων,6,3648 3436,7,oxi,false,true,true
8,3513,Αριθμητική Γραμμική Άλγεβρα,6,3230 3214,1 3,oxi,false,true,true
8,3561,Αρχιτεκτονική Υπολογιστών,6,3365,5,oxi,false,true,true
8,3761,Ασφάλεια Δικτύων,6,3672 3571,5 8,oxi,false,true,true
8,6082,Γραμμική Άλγεβρα ΙΙ(ΣΤΑ),7.5,0,3,oxi,false,true,true
8,3612,Ειδικά Θέματα Διακριτών Μαθηματικών,6,3117,3 4,oxi,false,true,true
8,3741,Εννοιολογική Μοντελοποίηση Συστημάτων,6,0,6 7,oxi,false,true,true
8,3743,Εξόρυξη Γνώσης,6,3531 3436,1 7,oxi,false,true,true
8,2610,Επιχειρησιακή Πολιτική και Στρατηγική(ΟΔΕ),6,0,0,oxi,false,false,true
8,3713,Θεωρία Παιγνίων και Αποφάσεων,6,3119 3311,2 4,oxi,false,true,true
8,3814,Θεωρία Πληροφορίας,6,3311,3,oxi,false,true,true
8,7116,Λογιστικά Πληροφ.Συστ.μέσω Διαδικτύου(ΛΟΧΡΗ),6,0,0,oxi,false,false,true
8,8116,Μαθηματικός Προγραμματισμός(ΔΕΤ),6,0,2,oxi,false,true,true
8,6142,Πιθανότητες ΙΙ(ΣΤΑ),7.5,0,3,oxi,false,true,true
8,6125,Προσομοίωση(ΣΤΑ),6,0,3,oxi,false,true,true
8,3791,Στοιχεία Δικαίου της Πληροφορίας,6,3135,8,oxi,false,true,true
8,3584,Τεχνολογική Καινοτομία και Επιχειρηματικότητα,6,3135 3125,0,oxi,false,false,true
8,3517,Υπολογισιμότητα και Πολυπλοκότητα,6,3434 3432,4,oxi,false,true,true
7,6023,Γραμμικά Μοντέλα(ΣΤΑ),8,0,1,oxi,false,true,true
8,6023,Γραμμικά Μοντέλα(ΣΤΑ),8,0,1,oxi,false,true,true
7,3802,Πτυχιακή Εργασία,6,0,0,oxi,false,false,true
8,3802,Πτυχιακή Εργασία,6,0,0,oxi,false,false,true
